OrderID,Date,Month,Region,Country,SalesRep,Product,Category,Units,UnitPrice,Revenue,Cost,Profit
SO-2025-05531,2025-01-04,2025-01,Europe,United Kingdom,Emma Laurent,Wireless Mouse,Accessories,2,59.15,118.3,48.0,70.3
SO-2025-02219,2025-01-04,2025-01,North America,Canada,Ava Thompson,Analytics Add-on,Software,22,423.0,9306.0,1540.0,7766.0
SO-2025-05935,2025-01-04,2025-01,North America,Mexico,Ava Thompson,Security Suite,Software,7,602.0,4214.0,770.0,3444.0
SO-2025-01004,2025-01-04,2025-01,North America,United States,Ava Thompson,Security Suite,Software,6,595.0,3570.0,660.0,2910.0
SO-2025-03943,2025-01-04,2025-01,North America,Mexico,Ava Thompson,Laptop Air 13,Hardware,3,850.5,2551.5,2100.0,451.5
SO-2025-02388,2025-01-04,2025-01,North America,United States,Liam Chen,CRM Suite (annual),Software,2,855.0,1710.0,280.0,1430.0
SO-2025-00274,2025-01-04,2025-01,Europe,Germany,Emma Laurent,CRM Suite (annual),Software,23,765.0,17595.0,3220.0,14375.0
SO-2025-02907,2025-01-04,2025-01,APAC,India,Priya Nair,Wireless Mouse,Accessories,3,58.5,175.5,72.0,103.5
SO-2025-01745,2025-01-04,2025-01,Europe,United Kingdom,Oliver Smith,USB-C Dock,Accessories,4,156.6,626.4,352.0,274.4
SO-2025-01126,2025-01-04,2025-01,APAC,Australia,Priya Nair,Noise-Cancel Headset,Accessories,8,216.0,1728.0,944.0,784.0
SO-2025-01799,2025-01-04,2025-01,North America,Canada,Sofia Ramirez,Wireless Mouse,Accessories,8,52.0,416.0,192.0,224.0
SO-2025-01558,2025-01-04,2025-01,Europe,France,Oliver Smith,Security Suite,Software,22,665.0,14630.0,2420.0,12210.0
SO-2025-00821,2025-01-04,2025-01,APAC,Singapore,Priya Nair,Laptop Air 13,Hardware,1,1039.5,1039.5,700.0,339.5
SO-2025-02319,2025-01-04,2025-01,North America,Canada,Ava Thompson,Laptop Air 13,Hardware,2,966.0,1932.0,1400.0,532.0
SO-2025-04803,2025-01-05,2025-01,North America,Mexico,Sofia Ramirez,Noise-Cancel Headset,Accessories,2,199.2,398.4,236.0,162.4
SO-2025-02140,2025-01-05,2025-01,LATAM,Argentina,Camila Rojas,Noise-Cancel Headset,Accessories,9,208.8,1879.2,1062.0,817.2
SO-2025-00958,2025-01-05,2025-01,Europe,France,Oliver Smith,Mechanical Keyboard,Accessories,7,122.2,855.4,434.0,421.4
SO-2025-03952,2025-01-05,2025-01,North America,United States,Ava Thompson,Security Suite,Software,10,693.0,6930.0,1100.0,5830.0
SO-2025-05599,2025-01-05,2025-01,APAC,Singapore,Haruto Sato,Analytics Add-on,Software,15,364.5,5467.5,1050.0,4417.5
SO-2025-05423,2025-01-05,2025-01,Europe,France,Emma Laurent,USB-C Dock,Accessories,9,163.8,1474.2,792.0,682.2
SO-2025-04885,2025-01-05,2025-01,Europe,Spain,Noah Muller,Mechanical Keyboard,Accessories,5,115.7,578.5,310.0,268.5
SO-2025-02772,2025-01-05,2025-01,North America,Mexico,Liam Chen,UltraWide Monitor 34,Hardware,1,508.4,508.4,410.0,98.4
SO-2025-04338,2025-01-05,2025-01,APAC,Japan,Haruto Sato,Noise-Cancel Headset,Accessories,8,194.4,1555.2,944.0,611.2
SO-2025-04181,2025-01-05,2025-01,North America,United States,Sofia Ramirez,UltraWide Monitor 34,Hardware,2,520.8,1041.6,820.0,221.6
SO-2025-03547,2025-01-05,2025-01,Europe,Spain,Emma Laurent,Laptop Pro 15,Hardware,3,1348.5,4045.5,2940.0,1105.5
SO-2025-05127,2025-01-06,2025-01,North America,United States,Ava Thompson,Security Suite,Software,6,644.0,3864.0,660.0,3204.0
SO-2025-00316,2025-01-06,2025-01,North America,Canada,Sofia Ramirez,Analytics Add-on,Software,19,360.0,6840.0,1330.0,5510.0
SO-2025-01277,2025-01-06,2025-01,APAC,Singapore,Chloe Wong,Noise-Cancel Headset,Accessories,2,232.8,465.6,236.0,229.6
SO-2025-03239,2025-01-06,2025-01,APAC,Japan,Chloe Wong,Noise-Cancel Headset,Accessories,7,213.6,1495.2,826.0,669.2
SO-2025-03856,2025-01-06,2025-01,North America,Mexico,Sofia Ramirez,Security Suite,Software,6,686.0,4116.0,660.0,3456.0
SO-2025-02830,2025-01-06,2025-01,North America,Mexico,Sofia Ramirez,Wireless Mouse,Accessories,5,59.15,295.75,120.0,175.75
SO-2025-00734,2025-01-06,2025-01,North America,Canada,Sofia Ramirez,Wireless Mouse,Accessories,8,54.6,436.8,192.0,244.8
SO-2025-01373,2025-01-06,2025-01,APAC,Singapore,Haruto Sato,Mechanical Keyboard,Accessories,2,124.8,249.6,124.0,125.6
SO-2025-05863,2025-01-06,2025-01,Europe,France,Emma Laurent,Wireless Mouse,Accessories,5,59.15,295.75,120.0,175.75
SO-2025-01488,2025-01-06,2025-01,North America,Canada,Liam Chen,Analytics Add-on,Software,5,427.5,2137.5,350.0,1787.5
SO-2025-04954,2025-01-06,2025-01,North America,United States,Ava Thompson,Wireless Mouse,Accessories,10,60.45,604.5,240.0,364.5
SO-2025-04043,2025-01-07,2025-01,Europe,Spain,Noah Muller,Laptop Air 13,Hardware,3,1039.5,3118.5,2100.0,1018.5
SO-2025-05088,2025-01-07,2025-01,North America,Canada,Ava Thompson,Noise-Cancel Headset,Accessories,6,216.0,1296.0,708.0,588.0
SO-2025-02016,2025-01-07,2025-01,Europe,France,Noah Muller,Wireless Mouse,Accessories,6,54.6,327.6,144.0,183.6
SO-2025-03899,2025-01-07,2025-01,North America,Mexico,Ava Thompson,USB-C Dock,Accessories,1,163.8,163.8,88.0,75.8
SO-2025-03691,2025-01-07,2025-01,LATAM,Brazil,Camila Rojas,Analytics Add-on,Software,7,427.5,2992.5,490.0,2502.5
SO-2025-00003,2025-01-07,2025-01,APAC,Singapore,Haruto Sato,Wireless Mouse,Accessories,5,54.6,273.0,120.0,153.0
SO-2025-02059,2025-01-08,2025-01,North America,Canada,Ava Thompson,Wireless Mouse,Accessories,7,64.35,450.45,168.0,282.45
SO-2025-04016,2025-01-08,2025-01,North America,Mexico,Sofia Ramirez,Laptop Pro 15,Hardware,2,1261.5,2523.0,1960.0,563.0
SO-2025-02634,2025-01-08,2025-01,Europe,Spain,Oliver Smith,CRM Suite (annual),Software,22,756.0,16632.0,3080.0,13552.0
SO-2025-03830,2025-01-08,2025-01,North America,Mexico,Liam Chen,CRM Suite (annual),Software,24,765.0,18360.0,3360.0,15000.0
SO-2025-04482,2025-01-08,2025-01,Europe,United Kingdom,Emma Laurent,Laptop Pro 15,Hardware,1,1247.0,1247.0,980.0,267.0
SO-2025-02491,2025-01-08,2025-01,Europe,United Kingdom,Noah Muller,Laptop Pro 15,Hardware,4,1363.0,5452.0,3920.0,1532.0
SO-2025-02730,2025-01-08,2025-01,North America,Mexico,Sofia Ramirez,Noise-Cancel Headset,Accessories,8,201.6,1612.8,944.0,668.8
SO-2025-03108,2025-01-08,2025-01,LATAM,Brazil,Diego Fernandez,Wireless Mouse,Accessories,9,61.1,549.9,216.0,333.9
SO-2025-05208,2025-01-08,2025-01,LATAM,Chile,Camila Rojas,Noise-Cancel Headset,Accessories,2,225.6,451.2,236.0,215.2
SO-2025-05534,2025-01-08,2025-01,LATAM,Argentina,Diego Fernandez,Wireless Mouse,Accessories,7,61.75,432.25,168.0,264.25
SO-2025-00594,2025-01-08,2025-01,North America,Mexico,Ava Thompson,CRM Suite (annual),Software,13,792.0,10296.0,1820.0,8476.0
SO-2025-02011,2025-01-08,2025-01,LATAM,Argentina,Camila Rojas,Wireless Mouse,Accessories,8,60.45,483.6,192.0,291.6
SO-2025-02889,2025-01-08,2025-01,Europe,Spain,Noah Muller,Wireless Mouse,Accessories,9,55.9,503.1,216.0,287.1
SO-2025-00709,2025-01-08,2025-01,Europe,Spain,Oliver Smith,Laptop Pro 15,Hardware,4,1305.0,5220.0,3920.0,1300.0
SO-2025-02185,2025-01-08,2025-01,North America,Mexico,Ava Thompson,Analytics Add-on,Software,15,378.0,5670.0,1050.0,4620.0
SO-2025-00077,2025-01-08,2025-01,North America,United States,Sofia Ramirez,Laptop Air 13,Hardware,2,955.5,1911.0,1400.0,511.0
SO-2025-02340,2025-01-09,2025-01,Europe,Spain,Noah Muller,Mechanical Keyboard,Accessories,6,113.1,678.6,372.0,306.6
SO-2025-03114,2025-01-09,2025-01,North America,Mexico,Ava Thompson,CRM Suite (annual),Software,15,765.0,11475.0,2100.0,9375.0
SO-2025-05698,2025-01-09,2025-01,North America,Canada,Liam Chen,Analytics Add-on,Software,25,445.5,11137.5,1750.0,9387.5
SO-2025-04740,2025-01-09,2025-01,North America,Mexico,Liam Chen,Wireless Mouse,Accessories,2,52.0,104.0,48.0,56.0
SO-2025-03828,2025-01-09,2025-01,North America,Canada,Sofia Ramirez,Analytics Add-on,Software,19,378.0,7182.0,1330.0,5852.0
SO-2025-03342,2025-01-09,2025-01,North America,Mexico,Sofia Ramirez,UltraWide Monitor 34,Hardware,1,589.0,589.0,410.0,179.0
SO-2025-04835,2025-01-09,2025-01,LATAM,Brazil,Camila Rojas,Analytics Add-on,Software,8,373.5,2988.0,560.0,2428.0
SO-2025-00814,2025-01-09,2025-01,North America,Canada,Ava Thompson,CRM Suite (annual),Software,18,873.0,15714.0,2520.0,13194.0
SO-2025-00565,2025-01-09,2025-01,Europe,Spain,Oliver Smith,Analytics Add-on,Software,12,414.0,4968.0,840.0,4128.0
SO-2025-03814,2025-01-09,2025-01,North America,Canada,Ava Thompson,Laptop Pro 15,Hardware,2,1261.5,2523.0,1960.0,563.0
SO-2025-05285,2025-01-09,2025-01,Europe,United Kingdom,Noah Muller,USB-C Dock,Accessories,8,178.2,1425.6,704.0,721.6
SO-2025-01913,2025-01-09,2025-01,LATAM,Argentina,Camila Rojas,Wireless Mouse,Accessories,10,52.65,526.5,240.0,286.5
SO-2025-04991,2025-01-09,2025-01,North America,Canada,Sofia Ramirez,Laptop Air 13,Hardware,3,1008.0,3024.0,2100.0,924.0
SO-2025-03487,2025-01-10,2025-01,Europe,Germany,Emma Laurent,USB-C Dock,Accessories,2,174.6,349.2,176.0,173.2
SO-2025-03335,2025-01-10,2025-01,APAC,India,Haruto Sato,Analytics Add-on,Software,1,360.0,360.0,70.0,290.0
SO-2025-04114,2025-01-10,2025-01,Europe,France,Emma Laurent,CRM Suite (annual),Software,18,738.0,13284.0,2520.0,10764.0
SO-2025-05960,2025-01-10,2025-01,North America,United States,Liam Chen,USB-C Dock,Accessories,7,165.6,1159.2,616.0,543.2
SO-2025-05491,2025-01-10,2025-01,North America,Canada,Liam Chen,Analytics Add-on,Software,19,405.0,7695.0,1330.0,6365.0
SO-2025-02740,2025-01-10,2025-01,Europe,France,Emma Laurent,Wireless Mouse,Accessories,5,59.15,295.75,120.0,175.75
SO-2025-04538,2025-01-10,2025-01,North America,United States,Ava Thompson,Wireless Mouse,Accessories,8,59.8,478.4,192.0,286.4
SO-2025-02882,2025-01-10,2025-01,LATAM,Argentina,Mateo Silva,UltraWide Monitor 34,Hardware,4,527.0,2108.0,1640.0,468.0
SO-2025-01382,2025-01-10,2025-01,APAC,Singapore,Priya Nair,Analytics Add-on,Software,4,373.5,1494.0,280.0,1214.0
SO-2025-01877,2025-01-10,2025-01,Europe,France,Oliver Smith,Mechanical Keyboard,Accessories,10,118.3,1183.0,620.0,563.0
SO-2025-03650,2025-01-10,2025-01,Europe,France,Noah Muller,Security Suite,Software,23,630.0,14490.0,2530.0,11960.0
SO-2025-00089,2025-01-10,2025-01,North America,Mexico,Ava Thompson,Mechanical Keyboard,Accessories,10,120.9,1209.0,620.0,589.0
SO-2025-02021,2025-01-10,2025-01,North America,United States,Ava Thompson,Wireless Mouse,Accessories,4,59.8,239.2,96.0,143.2
SO-2025-01611,2025-01-10,2025-01,Europe,France,Emma Laurent,Noise-Cancel Headset,Accessories,7,232.8,1629.6,826.0,803.6
SO-2025-01802,2025-01-10,2025-01,Europe,France,Oliver Smith,Laptop Pro 15,Hardware,4,1232.5,4930.0,3920.0,1010.0
SO-2025-03749,2025-01-11,2025-01,APAC,Singapore,Chloe Wong,Analytics Add-on,Software,10,396.0,3960.0,700.0,3260.0
SO-2025-00043,2025-01-11,2025-01,APAC,India,Haruto Sato,CRM Suite (annual),Software,18,774.0,13932.0,2520.0,11412.0
SO-2025-01114,2025-01-11,2025-01,APAC,Singapore,Priya Nair,Laptop Air 13,Hardware,1,1018.5,1018.5,700.0,318.5
SO-2025-03188,2025-01-11,2025-01,Europe,Germany,Oliver Smith,UltraWide Monitor 34,Hardware,1,508.4,508.4,410.0,98.4
SO-2025-03681,2025-01-11,2025-01,Europe,France,Noah Muller,Laptop Pro 15,Hardware,2,1189.0,2378.0,1960.0,418.0
SO-2025-05697,2025-01-11,2025-01,North America,Mexico,Liam Chen,Mechanical Keyboard,Accessories,6,118.3,709.8,372.0,337.8
SO-2025-02076,2025-01-11,2025-01,APAC,Japan,Haruto Sato,Analytics Add-on,Software,20,405.0,8100.0,1400.0,6700.0
SO-2025-01621,2025-01-11,2025-01,North America,United States,Sofia Ramirez,Laptop Air 13,Hardware,1,934.5,934.5,700.0,234.5
SO-2025-05607,2025-01-11,2025-01,North America,Mexico,Liam Chen,Security Suite,Software,12,574.0,6888.0,1320.0,5568.0
SO-2025-00175,2025-01-11,2025-01,North America,Mexico,Liam Chen,Analytics Add-on,Software,12,441.0,5292.0,840.0,4452.0
SO-2025-02472,2025-01-11,2025-01,North America,Canada,Sofia Ramirez,Noise-Cancel Headset,Accessories,7,230.4,1612.8,826.0,786.8
SO-2025-00777,2025-01-11,2025-01,Europe,United Kingdom,Emma Laurent,Wireless Mouse,Accessories,8,57.85,462.8,192.0,270.8
SO-2025-05860,2025-01-12,2025-01,Europe,France,Emma Laurent,Analytics Add-on,Software,12,414.0,4968.0,840.0,4128.0
SO-2025-04136,2025-01-12,2025-01,Europe,Spain,Noah Muller,CRM Suite (annual),Software,21,855.0,17955.0,2940.0,15015.0
SO-2025-05916,2025-01-12,2025-01,Europe,Germany,Emma Laurent,Laptop Air 13,Hardware,2,850.5,1701.0,1400.0,301.0
SO-2025-01312,2025-01-12,2025-01,APAC,Singapore,Chloe Wong,Laptop Air 13,Hardware,4,892.5,3570.0,2800.0,770.0
SO-2025-00182,2025-01-12,2025-01,APAC,Japan,Chloe Wong,Analytics Add-on,Software,3,396.0,1188.0,210.0,978.0
SO-2025-02665,2025-01-12,2025-01,Europe,Spain,Oliver Smith,CRM Suite (annual),Software,3,792.0,2376.0,420.0,1956.0
SO-2025-03524,2025-01-12,2025-01,Europe,Germany,Oliver Smith,CRM Suite (annual),Software,12,837.0,10044.0,1680.0,8364.0
SO-2025-05157,2025-01-12,2025-01,North America,Canada,Sofia Ramirez,Laptop Pro 15,Hardware,2,1305.0,2610.0,1960.0,650.0
SO-2025-01574,2025-01-12,2025-01,APAC,India,Chloe Wong,Wireless Mouse,Accessories,10,57.85,578.5,240.0,338.5
SO-2025-01270,2025-01-12,2025-01,Europe,France,Emma Laurent,Laptop Pro 15,Hardware,3,1247.0,3741.0,2940.0,801.0
SO-2025-01143,2025-01-12,2025-01,Europe,Germany,Noah Muller,Mechanical Keyboard,Accessories,1,123.5,123.5,62.0,61.5
SO-2025-01018,2025-01-12,2025-01,North America,Mexico,Liam Chen,Laptop Air 13,Hardware,1,955.5,955.5,700.0,255.5
SO-2025-02783,2025-01-12,2025-01,LATAM,Brazil,Mateo Silva,Noise-Cancel Headset,Accessories,9,240.0,2160.0,1062.0,1098.0
SO-2025-02178,2025-01-12,2025-01,Europe,France,Noah Muller,Wireless Mouse,Accessories,7,59.15,414.05,168.0,246.05
SO-2025-02188,2025-01-12,2025-01,LATAM,Chile,Diego Fernandez,Laptop Pro 15,Hardware,3,1363.0,4089.0,2940.0,1149.0
SO-2025-02576,2025-01-12,2025-01,APAC,Australia,Priya Nair,UltraWide Monitor 34,Hardware,2,570.4,1140.8,820.0,320.8
SO-2025-02075,2025-01-12,2025-01,North America,Mexico,Liam Chen,Noise-Cancel Headset,Accessories,7,204.0,1428.0,826.0,602.0
SO-2025-05623,2025-01-12,2025-01,North America,Canada,Ava Thompson,Wireless Mouse,Accessories,5,53.3,266.5,120.0,146.5
SO-2025-00195,2025-01-12,2025-01,Europe,Germany,Emma Laurent,Noise-Cancel Headset,Accessories,8,228.0,1824.0,944.0,880.0
SO-2025-02716,2025-01-13,2025-01,North America,Mexico,Ava Thompson,Laptop Pro 15,Hardware,2,1377.5,2755.0,1960.0,795.0
SO-2025-04971,2025-01-13,2025-01,North America,Canada,Liam Chen,USB-C Dock,Accessories,9,160.2,1441.8,792.0,649.8
SO-2025-00840,2025-01-13,2025-01,North America,Mexico,Ava Thompson,Mechanical Keyboard,Accessories,3,113.1,339.3,186.0,153.3
SO-2025-02693,2025-01-13,2025-01,Europe,Spain,Noah Muller,Analytics Add-on,Software,25,409.5,10237.5,1750.0,8487.5
SO-2025-00690,2025-01-13,2025-01,Europe,France,Noah Muller,Laptop Pro 15,Hardware,4,1377.5,5510.0,3920.0,1590.0
SO-2025-04935,2025-01-13,2025-01,Europe,Germany,Emma Laurent,Wireless Mouse,Accessories,10,64.35,643.5,240.0,403.5
SO-2025-03199,2025-01-13,2025-01,North America,Mexico,Ava Thompson,Noise-Cancel Headset,Accessories,2,223.2,446.4,236.0,210.4
SO-2025-00032,2025-01-13,2025-01,North America,Canada,Liam Chen,Wireless Mouse,Accessories,9,56.55,508.95,216.0,292.95
SO-2025-01818,2025-01-13,2025-01,North America,Canada,Sofia Ramirez,Laptop Pro 15,Hardware,2,1261.5,2523.0,1960.0,563.0
SO-2025-03015,2025-01-13,2025-01,Europe,United Kingdom,Oliver Smith,Security Suite,Software,6,595.0,3570.0,660.0,2910.0
SO-2025-05303,2025-01-13,2025-01,North America,Mexico,Sofia Ramirez,Security Suite,Software,11,672.0,7392.0,1210.0,6182.0
SO-2025-02864,2025-01-13,2025-01,APAC,Singapore,Priya Nair,Security Suite,Software,13,567.0,7371.0,1430.0,5941.0
SO-2025-04244,2025-01-14,2025-01,North America,United States,Ava Thompson,Mechanical Keyboard,Accessories,1,109.2,109.2,62.0,47.2
SO-2025-04101,2025-01-14,2025-01,North America,Canada,Liam Chen,Laptop Pro 15,Hardware,4,1305.0,5220.0,3920.0,1300.0
SO-2025-00205,2025-01-14,2025-01,Europe,Spain,Noah Muller,Laptop Air 13,Hardware,4,924.0,3696.0,2800.0,896.0
SO-2025-01460,2025-01-14,2025-01,North America,Canada,Ava Thompson,Laptop Air 13,Hardware,3,861.0,2583.0,2100.0,483.0
SO-2025-05892,2025-01-14,2025-01,APAC,Japan,Priya Nair,Mechanical Keyboard,Accessories,2,118.3,236.6,124.0,112.6
SO-2025-03806,2025-01-14,2025-01,North America,United States,Liam Chen,Laptop Air 13,Hardware,3,934.5,2803.5,2100.0,703.5
SO-2025-02063,2025-01-14,2025-01,North America,Mexico,Ava Thompson,Security Suite,Software,1,686.0,686.0,110.0,576.0
SO-2025-03890,2025-01-14,2025-01,APAC,Australia,Haruto Sato,USB-C Dock,Accessories,2,154.8,309.6,176.0,133.6
SO-2025-03011,2025-01-15,2025-01,Europe,Germany,Oliver Smith,Analytics Add-on,Software,1,378.0,378.0,70.0,308.0
SO-2025-04132,2025-01-15,2025-01,Europe,United Kingdom,Emma Laurent,Analytics Add-on,Software,2,423.0,846.0,140.0,706.0
SO-2025-05149,2025-01-15,2025-01,Europe,Spain,Noah Muller,USB-C Dock,Accessories,3,171.0,513.0,264.0,249.0
SO-2025-00836,2025-01-15,2025-01,Europe,Germany,Oliver Smith,Wireless Mouse,Accessories,6,56.55,339.3,144.0,195.3
SO-2025-02512,2025-01-15,2025-01,North America,Canada,Ava Thompson,UltraWide Monitor 34,Hardware,1,595.2,595.2,410.0,185.2
SO-2025-00281,2025-01-15,2025-01,Europe,France,Oliver Smith,Laptop Pro 15,Hardware,3,1218.0,3654.0,2940.0,714.0
SO-2025-04683,2025-01-15,2025-01,Europe,United Kingdom,Emma Laurent,Analytics Add-on,Software,20,369.0,7380.0,1400.0,5980.0
SO-2025-00049,2025-01-16,2025-01,North America,Canada,Liam Chen,Mechanical Keyboard,Accessories,4,124.8,499.2,248.0,251.2
SO-2025-00499,2025-01-16,2025-01,LATAM,Chile,Camila Rojas,Mechanical Keyboard,Accessories,1,130.0,130.0,62.0,68.0
SO-2025-02927,2025-01-16,2025-01,Europe,Spain,Emma Laurent,CRM Suite (annual),Software,12,855.0,10260.0,1680.0,8580.0
